"","min_dist","mean_dist","max_dist","num_clones","first_clone_name"
"1",9.066,15.11,22.666,3,"QH-W-6-27"
"2",1.813,1.813,1.813,2,"QH-W-4-1"
"3",4.08,4.08,4.08,2,"QH-E-AUX8-5"
"4",0,0,0,2,"QH-W-3-2"
"5",19.945,19.945,19.945,2,"QH-W-8-9"
"6",4.294,4.294,4.294,2,"QH-E-8-25"
"7",4.077,20.402,36.955,7,"QH-W-4-4"
"8",6.347,6.347,6.347,2,"QH-E-AUX8-7"
"9",16.319,16.319,16.319,2,"QH-W-7-29"
"10",19.94,19.94,19.94,2,"QH-W-2-7"
"11",NA,NA,NA,NA,NA
"12",19.946,19.946,19.946,2,"QH-W-7-3"
"13",10.879,21.048,27.264,3,"QH-W-5-16"
"14",0,0,0,2,"QH-W-9-13"
"15",43.896,43.896,43.896,2,"QH-W-8-4"
"16",28.468,28.468,28.468,2,"QH-W-8-3"
"17",8.702,8.702,8.702,2,"QH-E-8-22"
"18",4.5,4.5,4.5,2,"QH-E-6-8"
"19",3.607,3.607,3.607,2,"QH-W-10-19"
"20",3,3,3,2,"QH-E-5-29"
"21",58.93,58.93,58.93,2,"QH-E-2-18"
"22",9.066,9.066,9.066,2,"QH-E-3-7"
"23",9.051,16.794,24.971,3,"QH-E-4-17"
"24",10.8,16.267,24.4,3,"QH-E-3-16"
"25",6.346,6.346,6.346,2,"QH-E-7-6"
"26",8.061,8.061,8.061,2,"QH-W-2-3"
"27",4.701,4.701,4.701,2,"QH-E-5-26"
"28",0.9,0.9,0.9,2,"QH-E-6-14"
"29",32.638,46.688,69.354,3,"QH-W-10-21"
"30",3.612,20.496,47.943,8,"QH-E-5-14"
"31",9.235,9.235,9.235,2,"QH-E-5-20"
"32",18.132,18.132,18.132,2,"QH-E-3-2"
"33",9.602,9.602,9.602,2,"QH-E-2-8"
"34",2.11,2.935,4.386,3,"QH-E-5-16"
"35",2.648,2.648,2.648,2,"QH-E-5-23"
"36",8.875,8.875,8.875,2,"QH-E-AUX5-10"
"37",9.067,9.067,9.067,2,"QH-E-2-22"
"38",9.372,9.372,9.372,2,"QH-E-AUX5-3"
"39",6.413,6.413,6.413,2,"QH-E-8-12"
"40",4.6,4.6,4.6,2,"QH-E-6-4"
"41",24.466,24.466,24.466,2,"QH-E-4-15"
"42",18.132,18.132,18.132,2,"QH-E-7-22"
"43",42.973,42.973,42.973,2,"QH-W-5-2"
"44",10.041,10.041,10.041,2,"QH-W-2-1"
"45",52.757,52.757,52.757,2,"QH-W-10-12"
"46",9.014,9.014,9.014,2,"QH-E-AUX5-8"
"47",27.169,27.169,27.169,2,"QH-W-9-7"
"48",4.533,4.533,4.533,2,"QH-E-AUX8-9"
"49",2.608,2.608,2.608,2,"QH-E-8-16"
"50",10.041,19.799,35.355,4,"QH-E-4-5"
"51",1.965,5.137,6.935,3,"QH-E-5-3"
"52",27.012,41.887,62.769,3,"QH-E-1-7"
"53",27.199,27.199,27.199,2,"QH-E-3-10"
"54",4.826,4.826,4.826,2,"QH-E-8-4"
"55",7.961,11.47,17.204,3,"QH-E-AUX5-5"
"56",11.789,11.789,11.789,2,"QH-E-3-25"
"57",3.041,3.041,3.041,2,"QH-E-8-28"
"58",7.2,7.2,7.2,2,"QH-E-3-19"
"59",16.302,16.302,16.302,2,"QH-W-8-17"
"60",29.981,29.981,29.981,2,"QH-W-2-9"
"61",0.9,17.438,26.028,3,"QH-W-10-24"
"62",4.533,13.6,31.732,8,"QH-E-7-9"
"63",11.114,11.114,11.114,2,"QH-E-AUX2-1"
"64",6.551,6.551,6.551,2,"QH-W-10-6"
"65",6.346,6.346,6.346,2,"QH-E-7-3"
